Judul,Status
 Bendera Uni Soviet Dikibarkan di Mariupol di Tengah Ketegangan Rusia – Ukraina Tahun Ini,Salah [False Context]
 Pelarangan Daging oleh FDA di Amerika Serikat,Salah [Satire]
 Foto Ruang Tunggu Utama di Kapal Titanic yang Diambil pada 1912,Salah [False Context]
" CEO Moderna, Stéphane Bancel, Menghapus Akun Twitternya dan Membuang Saham Moderna (mRNA) Miliknya Hingga 400 Juta Dollar AS",Salah [Misleading Content]
 Helli mendarat darurat di toll merak,Salah [False Context]
 Tangkapan Layar Berita merdeka.com “Menteri Yaqut: Minta polisi jaga masjid saat tarawih untuk cegah radikalisme”,Salah [Fabricated Content]
 “Photo asli RA Kartini ketika menjadi santri Kyai Saleh Darat. Tidak memakai konde dan berkebaya”,Salah [Manipulated Content]
 Gambar Tangkapan Layar Artikel Merdeka.com “Mahfud MD: Jokowi bapak pahlawan bangsa melebihi Jendral Sudirman”,Salah [Manipulated Content]
 Foto “Penampakan Bigfoot terlihat oleh seorang warga di Purwokerto yang sedang memancing”,Salah [Satire]
 Foto Pasangan Menyaksikan Peluncuran Roket Apollo 8 tahun 1968,Salah [Satire]
" Foto “Kejadian subuh, tak senang dibangunkan sahur pakai pengeras suara marbot mesjid diker0yok masa hingga t3was”",Salah [False Context]
 ANIES RESMI DICOPOT !,Salah [False Context]
 “resto mang Engking RUMAH MAKAN PENDANA RADIKAL DAN KHILAFAH PERUSAK NKRI”,Salah [Misleading Content]
 “ATAS PERINTAH LUHUT AMIEN RAIS AKHIRNYA DIJEMPUT PAKSA”,Salah [False Context]
 Garuda Indonesia Bagikan Uang Rp 5 Juta untuk Memperingati Penerbangan ke-73 Tahun,Salah [Fabricated Content]
 Makan Kepiting dan Susu Bersamaan Sebabkan Keracunan,Salah [Fabricated Content]
 “KETUA IDI RESMI DIPECAT”,Salah [Misleading Content]
 Berita Merdeka.com: “Ma’ruf Amin: Jokowi Punya Mukjizat Bisa Berbicara dengan Binatang Seperti Nabi Sulaiman”,Salah [Manipulated Content]
 “Rusia Ancam Serang Israel jika Pendudukan terhadap Palestina tak Segera Dihentikan”,Salah [Misleading Content]
 Ma’ruf Amin: “Kalau Jokowi Terpilih Lagi 3 Periode Ibu-Ibu Cukup Bayar Pakai Kartu”,Salah [Misleading Content]
"Keliru, Nasi yang Dipanaskan di Rice Cooker Lebih dari 12 Jam Menjadi Pemicu Diabetes",Salah [-]
 Video “Apa negara ini sudah dimiliki oleh tiongkok??”,Salah [False Context]
: Foto Gadis 16 Tahun Yang Dipenjara Karena Membunuh Pemerkosanya,Salah [False Connection]
: Video Benda Asing Menabrak Bulan,Salah [Manipulated Content]
 Ibu Gorok Anaknya Karena Bagunkan Sahur,Salah [Misleading Content]
 Gambar Tangkapan Layar Artikel berjudul “Ma’ruf Amin Sebut Uang Haji Dipakai Dulu untuk IKN Haji Dipakai Dulu untuk IKN dan Infrastruktur”,Salah [Manipulated Content]
" Berita CNN tentang “TEKA-TEKA KEHADIRAN ADAE ARMANDO DI GEDUNG DPR-RI, BABAK BELUR DI HAJAR SEKELOMPOK ORAG TERJAWAB SUDAH”",Salah [Fabricated Content]
 Bayangan Mengerikan Hiroshima,Salah [False Context]
 Foto Jokowi dan Ma’ruf Amin Menjenguk Ade Armando,Salah [Manipulated Content]
"Keliru, Dua Foto Perempuan Dikaitkan dengan Berita Gadis yang Dipenjara karena Membunuh Pemerkosanya",Salah [-]
 Lowongan Kerja PT Kereta Api Indonesia untuk Periode Mei 2022,Salah [Fabricated Content]
" Gerai Makanan Cepat Saji “Uncle Vanya” yang Pertama Telah dibuka di Kota Moskow, Rusia",Salah [False Context]
 Penawaran Mobil Lelang oleh Direktorat Jenderal Keuangan Negara (DitjenKN) dengan Cicilan Melalui WhatsApp,Salah [Impostor Content]
 “video Presiden Joe merayakan kejatuhan Imran Khan PM Pakistan”,Salah [Manipulated Content]
 Vaksin Booster Covid-19 Dapat Menyebabkan AIDS,Salah [Misleading Content]
 Jokowi Mengatakan Revolusi Mental Akan Gagal Kalau Agama Tidak Dipisahkan dari Politik,Salah [Fabricated Content]
" “Ingin Melawan Tapi Takut Dipenjara, Driver Shopee Food Pasrah Jadi Korban Begal”",Salah [Misleading Content]
"Keliru, Video Longmarch Mahasiswa BEM Seluruh Indonesia pada Demo 11 April 2022",Salah [-]
 Perwira Polisi Ipda Imam Agus Husain Meninggal Saat Mengamankan Demo di Kendari,Salah [Misleading Content]
 Video Paspampres Donald Trump Memakai Tangan Palsu untuk Menyembunyikan Tangan Asli yang Siap Memegang Senjata,Salah [False Context]
 Amandemen untuk Menghilangkan Kalimat Syahadat dari Bendera Arab Saudi,Salah [Misleading Content]
 Lowongan Kerja Angkasa Pura 1,Salah [Fabricated Content]
 Pesan WhatsApp Bantuan BPJS Kesehatan Sebesar Rp75 Juta,Salah [Fabricated Content]
: Singapura Terlihat Dari Batam Menggunakan Kamera HP Nokia Terbaru,Salah [Misleading Content]
 “PUTIN ANTI LGBT”,Salah [False Context]
 Permen Dot Mengandung Narkoba,Salah [Misleading Content]
 Krisdayanti Meninggal Dunia Akibat Dibekap Suaminya,Salah [Misleading Content]
 Bayi Berumur 3 Hari Bisa Menyebut Nama “Allah”,Salah [Misleading Content]
"Keliru, Video Live Demo Mahasiswa di Gedung DPR RI pada 11 April 2022",Salah [-]
 Surat Edaran Program Santunan Donasi Menyambut Bulan Suci Ramadhan dari Dinas Sosial Kabupaten Jember,Salah [Impostor Content]
 Akun Whatsapp Bupati Kediri Hanindhito Himawan Pramana “+62 83815890086”,Salah [Impostor Content]
 Akun Whatsapp Kasatres Polresta Sidoarjo Oscar Stefanus Setja “+6282175438282”,Salah [Impostor Content]
 Lowongan Kerja Dinas Kesehatan Kabupaten Kediri,Salah [Impostor Content]
 Akun Whatsapp Bupati Kapuas Hulu Fransiskus Diaan “+62895360646633”,Salah [Impostor Content]
" “Kalau Label Halal Diambil Kemenag, Lalu Pengurus MUI Makan Apa?”",Salah [Manipulated Content]
 Tautan Hadiah Rp2.000.000 dalam Rangka Ulang Tahun BRI ke 130 Tahun,Salah [Fabricated Content]
 Video “Dia adalah PEMBINA BRIMOB saat ini. Namanya Thahir alias Ang Tjoeng Ming.”,Salah [Misleading Content]
 Warung Makan di Klaten Dibakar Warga karena Berjualan di Bulan Puasa,Salah [Misleading Content]
 Nagita Gugat Cerai Suami Ke Pengadilan,Salah [Misleading Content]
 Mahasiswa Batal Puasa Karena Demo di Depan Gedung DPRK Langsa,Salah [False Context]
 Hadiah 2 juta Perayaan Ulang Tahun Super Indo ke-25,Salah [Fabricated Content]
"Keliru, Klaim Video Pasukan Pengamanan Aksi Demo 11 April 2022",Salah [-]
"Keliru, Informasi tentang Teka-teki Kehadiran Ade Armando di Gedung DPR RI dari CNN Indonesia",Salah [-]
 Ayla Kristine 16 tahun dibesarkan oleh anjing,Salah [False Context]
" Kebakaran Di Lokasi Syuting, Pemeran Ikatan Cinta Meninggal Dunia",Salah [Misleading Content]
 “Jakarta hari ini”,Salah [False Context]
" Video Sekelompok Orang Bermain Sepatu Roda di Purwokerto, Indonesia",Salah [False Context]
 Beras Produksi UD Widodo Mengandung Bahan Kimia,Salah [Misleading Content]
 Akun Telegram Bibit.id,Salah [Impostor Content]
 Akun Telegram PT Monex Investindo Futures,Salah [Impostor Content]
"Keliru, Foto Mahasiswa Buka Puasa Bersama Usai Azan Dzuhur Saat Demo 11 April 2022",Salah [-]
 Majapahit Menginvasi Jepang,Salah [False Context]
: Mumi Dinosaurus Appalachiosaurus Ditemukan di Tennessee,Salah [False Context]
 Video Bayi Pakistan Berusia 7 Hari yang Ditembak Ayah Kandungnya pada 5 Maret 2022,Salah [False Context]
 Foto TKA China Berseragam Brimob Lakukan Pengamanan Demo 11 April 2022,Salah [Manipulated Content]
" Artikel Merdeka.com Berjudul ""Menteri Yaqut: Minta Polisi Jaga Masjid Saat Tarawih untuk Cegah Radikalisme""",Salah [Fabricated Content]
"Keliru, TKA Cina Mengambil Bagian dalam Pengamanan Demonstrasi Mahasiswa 11 April 2022",Salah [-]
"Menyesatkan, Seorang Bocah Ukraina yang Mengungsi tanpa Orangtua, Berjalan Sendirian sambil Menangis Saat Menuju Polandia",Salah [-]
 Ratusan Bus di Bakauheni yang Menuju Jakarta Diputar Balik pada 9 April 2022,Salah [False Context]
 Foto Dokumentasi Pernikahan Massal Antara Pria Dewasa dan Gadis Pra-Remaja,Salah [Misleading Content]
 Foto Pemadam Kebakaran Ukraina,Salah [False Context]
 CNN Mengabarkan Bahwa Sebuah Hotel di Ukraina Telah Dibom Oleh Pasukan Rusia,Salah [Misleading Content]
 Vaksin COVID-19 Mengandung Luciferase Dan Menjadi Alat Pelacak,Salah [Misleading Content]
 Akun Instagram PT. Elnusa Tbk “instagram.com/careerelnusa”,Salah [Impostor Content]
 Video “keren kan untuk pengamanan 11 April 2022”,Salah [False Context]
" INNALILLAHI WA INNA ILAIHI ROJIUN, Artis Ike Nurjanah Meninggal Dunia",Salah [Manipulated Content]
 “proses beras plastik”,Salah [False Context]
