Judul,Status,Link
[BENAR] Klarifikasi “#SOSDrJohnSimpsonForIndonesia”,Benar,https://cekfakta.com/focus/2432
Klarifikasi dari Rektor UIN Suska Riau terkait Surat Pemecatan Ustaz Abdul Somad sebagai Dosen,Benar,https://cekfakta.com/focus/2061
[BENAR] Permen Jeli yang Dibuat dengan Gelatin yang Berasal dari Kulit dan Tulang Hewan.,KLARIFIKASI,https://cekfakta.com/focus/1981
Coklat “Mermaid” Memakan Korban,Benar,https://cekfakta.com/focus/1945
[BENAR] Foto Prabowo dan Titiek Soeharto,KLARIFIKASI,https://cekfakta.com/focus/1942
Gatot Nurmantyo Bantah Isi Pesan Berantai Yang Mencatut Namanya,Benar,https://cekfakta.com/focus/1939
Pria yang Teriak Akan Bakar Jakarta Beri Klarifikasi di Kantor polisi,Benar,https://cekfakta.com/focus/1921
REDAKSI LIPUTAN 6 SCTV: “Tidak Pernah Revisi Quick Count”,KLARIFIKASI,https://cekfakta.com/focus/1878
Akun @KwikKianGie_ bukan milik Kwik Kian Gie,KLARIFIKASI,https://cekfakta.com/focus/1876
"Komisioner KPU, Ilham Saputra adalah adik kandung Yuga Aden, Tim Komunikasi Badan Pemenangan Nasional (BPN)",Benar,https://cekfakta.com/focus/1875
Video Petugas KPPS Coblos Surat Suara di Boyolali,Benar,https://cekfakta.com/focus/1871
Klarifikasi BPN “Prabowo Tabok Sandiaga Uno”,Benar,https://cekfakta.com/focus/1867
[BENAR]: Metro TV Klarifikasi Tayangan Quick Count Unggulkan Prabowo,Benar,https://cekfakta.com/focus/1854
Benarkah Surat Suara di Musi Banyuasin Tercoblos untuk 01?,KLARIFIKASI,https://cekfakta.com/focus/1853
Kericuhan di TPS akibat Anggota Ormas Pakai Pin Paslon,Benar,https://cekfakta.com/focus/1845
Benarkah Beredar Selebaran Berlogo Palu Arit Sebelum Pencoblosan di Banyumas?,Benar,https://cekfakta.com/focus/1844
TPS Jenetallasa Dihentikan Sementara Karena Ada Surat Suara Yang Telah Tercoblos,Benar,https://cekfakta.com/focus/1842
"Surat Suara Tertukar Di Kembangarum, Semarang Barat",Benar,https://cekfakta.com/focus/1835
Beredar Foto Kotak Suara Kayu di Pemilu 1955,Benar,https://cekfakta.com/focus/1834
"Benarkah pernyataan politikus PKS Hidayat Nur Wahid yang menuding kader PSI korupsi Rp 812 juta, kader PDIP korupsi Rp 5,7 triliun dan kader Golkar korupsi Rp 8 miliar?",Benar,https://cekfakta.com/focus/1833
Warga Binaan Rumah Tahanan Sumenep Kehilangan Hak Pilih,Benar,https://cekfakta.com/focus/1832
Berpose Foto Salam Dua Jari Memakai Rompi Bawaslu,Benar,https://cekfakta.com/focus/1811
Perputaran Industri Games Indonesia Rp 11-12 Triliun,Benar,https://cekfakta.com/focus/1800
Klaim Jokowi Soal Kereta Api Di Ekspor ke Bangladesh,Benar,https://cekfakta.com/focus/1799
"Benarkah pernyataan Presiden Joko Widodo bahwa program Membina Ekonomi Keluarga Sejahtera (Mekaar) telah menjangkau 4,2 juta nasabah?",Benar,https://cekfakta.com/focus/1797
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja,Benar,https://cekfakta.com/focus/1796
Benarkah pernyataan Calon Presiden Joko Widodo bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor satu di dunia?,Benar,https://cekfakta.com/focus/1793
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?",Benar,https://cekfakta.com/focus/1791
MUS MULYADI MUSISI KERONCONG INDONESIA TUTUP USIA,Benar,https://cekfakta.com/focus/1770
[SALAH] Anggaran Pemilu 2019 meningkat tapi kotak suara pakai kardus,Benar,https://cekfakta.com/focus/1759
[BENAR] Fakta Sesungguhnya terkait Video Deklarasi Keluarga Ibu Kandung Prabowo di Minahasa Mendukung Jokowi dalam Pilpres 2019,Benar,https://cekfakta.com/focus/1751
LGBT Bandung deklarasi dukung Prabowo-Sandi,Benar,https://cekfakta.com/focus/1613
[BENAR] Surat suara yang sah harus ada tanda tangan KPPS,Benar,https://cekfakta.com/focus/1536
[BENAR] “Dugaan Pelanggaran Pemilu di Acara Singkawang Bersholawat”,Benar,https://cekfakta.com/focus/1486
[BENAR] Barcode dari Menristekdikti terhubung dengan website keberhasilan Jokowi,Benar,https://cekfakta.com/focus/1476
Benarkah pemerintahan Presiden Jokowi sudah memperkuat pertahanan dan keamanan di luar kawasan Pulau Jawa?,Benar,https://cekfakta.com/focus/1321
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""",Benar,https://cekfakta.com/focus/1320
"Prabowo Subianto : ""Ibu saya seorang Nasrani, saya lahir dari rahimnya seorang Nasrani""",Benar,https://cekfakta.com/focus/1319
Jokowi : 23 lembaga yang dibubarkan karena dianggap membuat pelayanan publik berbelit-belit.,Benar,https://cekfakta.com/focus/1318
Jokowi : Masa depan akan dilanda dengan perang teknologi,Benar,https://cekfakta.com/focus/1317
[BENAR] “Indochina” di Foto Kontainer “Southern Hauliers”,Benar,https://cekfakta.com/focus/1289
Sandiaga Uno Sebut Angka Kematian Ibu Masih 300,Benar,https://cekfakta.com/focus/1286
KH Ma’ruf Amin: Peserta BPJS Kesehatan Capai 215 Juta Peserta,Benar,https://cekfakta.com/focus/1284
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker,KLARIFIKASI,https://cekfakta.com/focus/1283
[BENAR] Klarifikasi Polres Bogor Terkait Pembuatan SIM Tanpa Tes Rp. 150 Ribu di Acara Millenial Road Safety Festival,KLARIFIKASI,https://cekfakta.com/focus/1226
[BENAR] Ridwan Kamil Bantah Artikel “Ridwan Kamil: Di jawa Barat Kita Akan Mendata Siapa Saja Yang Tidak Mendukung Jokowi!!”,Benar,https://cekfakta.com/focus/1222
4 Unicorn Indonesia yang Dibanggakan Jokowi,Benar,https://cekfakta.com/focus/1190
"11 Perusahaan Perusak Lingkungan Disanksi Rp18,3 Triliun",Benar,https://cekfakta.com/focus/1189
Blok Rokan dan Blok Mahakam Dikelola Indonesia,Benar,https://cekfakta.com/focus/1187
Lahan Hutan Prabowo Ratusan Ribu Hektare,Benar,https://cekfakta.com/focus/1186
"Prabowo Klaim RI Impor Gula Jutaan Ton, Bagaimana Faktanya",Benar,https://cekfakta.com/focus/1185
Jokowi: Kapal Nelayan di Bawah 10 GT Tidak Perlu Izin,Benar,https://cekfakta.com/focus/1182
Jokowi Sebut 488 Kapal Ilegal Telah Ditenggelamkan,Benar,https://cekfakta.com/focus/1181
Benarkah selama puluhan tahun banyak perusahaan besar meninggalkan limbah dan tidak membayar pajak?,Benar,https://cekfakta.com/focus/1180
Jokowi: Tambang Milik PT Bukit Asam Sudah Dihutankan Kembali,Benar,https://cekfakta.com/focus/1177
[BENAR] Klaim Prabowo Terkait Operasional Pelabuhan Indonesia Diberikan Pihak Asing,Benar,https://cekfakta.com/focus/1176
Dalam dua tahun pemerintah sudah membagikan 5 juta sertifikat tanah,Benar,https://cekfakta.com/focus/1175
Prabowo Sebut Kekayaan RI Banyak Berada di Luar Negeri,Benar,https://cekfakta.com/focus/1174
"Jokowi: 4 Tahun Ini Impor Jagung Turun Hingga 3,3 Juta Ton",Benar,https://cekfakta.com/focus/1173
"Sebagian Benar, Klaim Jokowi Soal Hampir Tidak Ada Konflik Pembebasan Lahan",Benar,https://cekfakta.com/focus/1171
Kata Prabowo soal 3 Keberhasilan Suatu Negara Versi PBB,Benar,https://cekfakta.com/focus/1170
Jokowi Klaim Sudah Kucurkan 187 Triliun Dana Desa,Benar,https://cekfakta.com/focus/1166
[BENAR] Penjelasan Terkait Informasi Mobil Berstiker Prabowo-Sandi Tidak Boleh Masuk Kebun Raya Bogor,Benar,https://cekfakta.com/focus/1148
[BENAR] KLARIFIKASI PETANI KULONPROGO YANG SEMPROT MATI LAHAN CABAI,Benar,https://cekfakta.com/focus/1145
[BENAR] “Panen Bawang Berlimpah Ciptakan Krisis di India”,Benar,https://cekfakta.com/focus/1138
[BENAR] Pembangunan Jembatan Gantung Sikundo,Benar,https://cekfakta.com/focus/1127
[BENAR] Penjelasan Mosaik Jalan di Depan Balaikota Surakarta Solo yang Disebut Mirip Salib,Benar,https://cekfakta.com/focus/1080
Kades di Jatim Dipenjara karena Menyatakan Dukungan pada Prabowo?,Benar,https://cekfakta.com/focus/1070
Jokowi Sebut Enam Caleg Eks Koruptor dari Gerindra,Benar,https://cekfakta.com/focus/1068
(Benar) Prabowo-Sandi Menilai Penyandang Disabilitas Sulit Cari Pekerjaan,Benar,https://cekfakta.com/focus/1064
"Jokowi Sebut Penuntasan Pelanggaran HAM Masa Lalu Sulit, Ini Faktanya",Benar,https://cekfakta.com/focus/1063
(BENAR) Masa Pemerintahan Jokowi belum selesaikan pelanggaran HAM berat di masa lalu,Benar,https://cekfakta.com/focus/1062
[BENAR] Penjelasan MUI terkait Pernyataan Tengku Zulkarnain yang Sebut MUI akan Ajukan Hukuman Potong Tangan Bagi Koruptor,Benar,https://cekfakta.com/focus/861
[BENAR] Penjelasan Bupati Nduga Terkait Foto Anaknya sedang Memegang Bendera Bintang Kejora,Benar,https://cekfakta.com/focus/834
[BENAR] Klarifikasi Kepolisian Terkait Aturan Kendaraan Bermotor yang STNK Mati Selama 2 tahun Menjadi Bodong,Benar,https://cekfakta.com/focus/662
Pelaku Body Shaming Bisa Dijerat Pidana,Benar,https://cekfakta.com/focus/594
[KLARIFIKASI] Klarifikasi Tentang Isu Gunung Salak Erupsi/Meletus,Benar,https://cekfakta.com/focus/516
[KLARIFIKASI] Klarifikasi BNPB Terkait Isu Pengusiran Relawan BPBD,Benar,https://cekfakta.com/focus/515
[KLARIFIKASI] Klarifikasi Kementerian Luar Negeri Terkait Isu Pelarangan Anak Habib Rizieq Masuk Yaman,Benar,https://cekfakta.com/focus/514
[KLARIFIKASI] Gempa Palu Bukan Penyebab Erupsi Gunung Soputan,Benar,https://cekfakta.com/focus/507
[DISINFORMATION] “A Zambian student in China was beaten to death”,Benar,https://cekfakta.com/focus/487
[KLARIFIKASI] Klarifikasi KPK Terkait Foto Setya Novanto Tanpa Baju Tahanan,Benar,https://cekfakta.com/focus/484
[KLARIFIKASI] Kejati Kaltim Bantah Telah Keluarkan Rekomendasi Pengawasan Proyek Masjid Pemprov Kaltim di Kinibalu,Benar,https://cekfakta.com/focus/474
[KLARIFIKASI] Klarifikasi Video TKA China Mengukur Tanah,Benar,https://cekfakta.com/focus/468
[KLARIFIKASI] Kemenkeu Tidak Memblokir Rekening Ruben PS Marvey yang Berisikan Dana Bantuan Pembangunan Papua,Benar,https://cekfakta.com/focus/464
[BENAR] “Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen”,Benar,https://cekfakta.com/focus/455
[KLARIFIKASI] Mahasiswa Universitas Jenderal Sudirman Purwokerto Nyanyi Lagu Indonesia Raya di dalam Mesjid Nurul Alam,Benar,https://cekfakta.com/focus/437
[KLARIFIKASI] TNI: Indonesia Tidak Langgar Perbatasan Timor Leste,Benar,https://cekfakta.com/focus/427
[KLARIFIKASI] Pertamina Bantah Mengurangi Kuota BBM Bersubsidi Di Wilayah Solo Raya dan DI Yogyakarta,Benar,https://cekfakta.com/focus/415
[KLARIFIKASI] Universitas Muhammadiyah Kupang Bantah Akan Menginisasi Gerakan #GantiPresiden2019,Benar,https://cekfakta.com/focus/413
[KLARIFIKASI] Kak Seto Tidak Mengisi Acara di Sampoerna Academy,Benar,https://cekfakta.com/focus/403
[KLARIFIKASI] Ketua INASGOC Bantah Indonesia Bermain Curang Pada Cabang Pencak Silat ASIAN Games 2018,Benar,https://cekfakta.com/focus/399
[KLARIFIKASI] Pollycarpus Bantah Jadi Kader Partai Berkarya,KLARIFIKASI,https://cekfakta.com/focus/396
Klarifikasi Video Neno Warisman Bicara Bicara Pakai Mikrofon Pesawat.,Benar,https://cekfakta.com/focus/393
[KLARIFIKASI] Sekolah SMAN 2 Rambah Hilir Riau Tidak Mewajibkan Siswi Non Muslim Memakai Jilbab,Benar,https://cekfakta.com/focus/392
[KLARIFIKASI] Rio Rizki Bukan Peraih Medali Emas Termuda Di ASIAN Games 2018,Benar,https://cekfakta.com/focus/387
[KLARIFIKASI] Klarifikasi BMKG Terkait Foto Indonesia “Very High Seismic Risk”,Benar,https://cekfakta.com/focus/381
[KLARIFIKASI] Informasi Pihak Kepolisian Akan Bubarkan Warga yang Salat Idul Adha di Jembatan Ampera,Benar,https://cekfakta.com/focus/365
[KLARIFIKASI] Belum Ada Susunan Resmi Tim Kampanye/Pemenangan Pasangan Prabowo-Sandi Hingga Kini (21 Agustus 2018),Benar,https://cekfakta.com/focus/363
[KLARIFIKASI] “PANDANGAN ATAS ISSUE DAGING HEWAN YANG TERKENA TBC”,Benar,https://cekfakta.com/focus/355
[KLARIFIKASI] Dinkes Aceh Membantah Atas Isu Pelajar Lumpuh Setelah Vaksin MR,Benar,https://cekfakta.com/focus/344
"[BENAR] ""Bukan disebabkan vaksin, siswa MI di Palembang tewas karena radang otak""",Benar,https://cekfakta.com/focus/326
[KLARIFIKASI] Kali Item dan Kali Sentiong Sempat Lebih Bersih di Era Gubernur Basuki Purnama atau Ahok,Benar,https://cekfakta.com/focus/325
[PENIPUAN] Pembajakan Akun Aplikasi Telegram Melalui Pemulihan Kata Kunci,Benar,https://cekfakta.com/focus/323
[KLARIFIKASI] JJ Rizal Bantah Menjadi Tim Pertimbangan Monas,Benar,https://cekfakta.com/focus/322
[KLARIFIKASI] Pernyataan Sikap Netral Universitas Indonesia (UI),Benar,https://cekfakta.com/focus/318
"[KLARIFIKASI] Klarifikasi Pondok Pesantren ""Al-Munawwir"" Krapyak Terhadap Pemberitaan JPNN",Benar,https://cekfakta.com/focus/317
"[KLARIFIKASI] ""Pare Tidak Serta-merta Bisa Menyembuhkan Kanker""",Benar,https://cekfakta.com/focus/310
"[BENAR] ""Dinkes Pamekasan: Kasus Santri Kadur Efek ORI Difteri""",KLARIFIKASI,https://cekfakta.com/focus/307
[KLARIFIKASI] KNPI Sumut Bantah Terima Mobil Bekas DPRD Sumut,Benar,https://cekfakta.com/focus/304
"[KLARIFIKASI] ""RS Wates Pasang Spanduk, Umumkan BPJS Menunggak Belasan Miliar""",Benar,https://cekfakta.com/focus/301
"[SATIRE] PKS Calonkan Joko Widodo, Info Sahih atau Lelucon?",Benar,https://cekfakta.com/focus/297
"[KLARIFIKASI] ""Tidak Ada Klaim dari Anies Mengenai Merancang Lapangan Banteng Dari 0""",Benar,https://cekfakta.com/focus/288
"[BENAR] The Guardian: ""'Saya merasa jijik': di dalam pabrik akun Twitter palsu di Indonesia""",Benar,https://cekfakta.com/focus/286
[KLARIFIKASI] Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokok,Benar,https://cekfakta.com/focus/285
[BENAR] Golden Fireworm (Chloeia Flava),Benar,https://cekfakta.com/focus/283
[KLARIFIKASI] Pertamina Tidak Bangkrut,Benar,https://cekfakta.com/focus/282
[KLARIFIKASI] Ustaz Fadlan Garamatan Tidak Maju Sebagai Caleg Dari PDIP,Benar,https://cekfakta.com/focus/280
[KLARIFIKASI] PT KCI Mengklarifikasi Kabar Tiket Kertas Gratis di Stasiun Bogor Pada Senin 23 Juli 2018,KLARIFIKASI,https://cekfakta.com/focus/277
"[KLARIFIKASI] ""Ratusan Pekerja Pertamina RU II Dumai Tolak Akuisisi Pertagas""",KLARIFIKASI,https://cekfakta.com/focus/273
"[KLARIFIKASI] Terduga Teroris IS yang Tertangkap di Sleman, Yogyakarta Bukan Pelatih Judo di UGM",KLARIFIKASI,https://cekfakta.com/focus/271
[KLARIFIKASI] Zohri Memang Memakai Bendera Polandia,Benar,https://cekfakta.com/focus/269
[KLARIFIKASI] Pesawat yang Tenggelam Seperti Terlihat di Google Maps,KLARIFIKASI,https://cekfakta.com/focus/268
[KLARIFIKASI] Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang,KLARIFIKASI,https://cekfakta.com/focus/265
[KLARIFIKASI] Beredarnya Surat Pernyataan dari Bank Mandiri Tentang Rekening Sofyan Basir Sebesar Rp 104 Triliun,Benar,https://cekfakta.com/focus/264
"[KLARIFIKASI] ""Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, tapi Ikhlas""",Benar,https://cekfakta.com/focus/261
[KLARIFIKASI] BKD Provinsi Papua Tidak Pernah Janjikan Jatah Penerimaan CPNS 2018,Benar,https://cekfakta.com/focus/260
[KLARIFIKASI] Kementerian PUPR Beri Klarifikasi Perihal Isu Pengambilalihan Proyek Enam Ruas Tol di DKI Jakarta,Benar,https://cekfakta.com/focus/254
[KLARIFIKASI] Video Viral Polisi Menendang Muka Ibu-Ibu,Benar,https://cekfakta.com/focus/249
[KLARIFIKASI] Video Pemotor yang Melintas di JLNT Casablanca Tak Ditilang Polisi Karena Punya Black Card,Benar,https://cekfakta.com/focus/244
[KLARIFIKASI] Klarifikasi Temuan Tim Investigasi Unnes Terkait Dugaan Plagiarisme Rektor Unnes,Benar,https://cekfakta.com/focus/243
[KLARIFIKASI] Kemenhub Beri Klarifikasi Atas Kabar yang Menyebutkan Ada 2 Pegawai Ditahan Usai Kebakaran di Gedung Kemenhub,Benar,https://cekfakta.com/focus/235
Ketua Dewan Kehormatan Partai Amanat Nasional (PAN) Amien Rais menyebut 74 persen tanah di Indonesia dikuasai segelintir orang.,Benar,https://cekfakta.com/focus/229
"Asisten I Pemerintah Aceh Besar, Mukhtar, Meninggal Saat Sujud Terakhir Salat Isya",Benar,https://cekfakta.com/focus/224
"[KLARIFIKASI] ""Doktor yang jadi Pemulung Sampah ini, Ternyata Adiknya Pramodya Ananta Toer""",Benar,https://cekfakta.com/focus/221
"[KLARIFIKASI] Polisi Membubarkan Parade LGBT di Istanbul, Turki",Benar,https://cekfakta.com/focus/219
Benarkah Polisi Menurunkan Bendera-bendera Peserta Piala Dunia 2018 di Kabupaten Sorong?,Benar,https://cekfakta.com/focus/218
[KLARIFIKASI] Susu Kental Manis Tidak Cocok untuk Anak,KLARIFIKASI,https://cekfakta.com/focus/216
"[BENAR] VIRAL DUA ANAK DITOLAK DAFTAR SMP DI MEDAN KARENA TAK MILIKI KK, PIHAK SEKOLAH BERI TANGGAPAN",Benar,https://cekfakta.com/focus/215
[KLARIFIKASI] Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara yang Hilang Pada Kasus Pencurian Terhadap Stafnya,Benar,https://cekfakta.com/focus/210
[KLARIFIKASI] PT MRT Klarifikasi Perihal Kebakaran di Stasiun Lebak Bulus,Benar,https://cekfakta.com/focus/205
Klarifikasi Ridwan Kamil Terkait Foto 'Bowo',Benar,https://cekfakta.com/focus/204
[KLARIFIKASI] PBNU Tidak Pernah Menuding Pemerintah Menggunakan Dana CSR BUMN Digunakan Untuk Gerakan Khilafah,Benar,https://cekfakta.com/focus/200
[KLARIFIKASI] Video Kapolres Landak AKBP Bowo Gede Imantio Dipaksa Makan Babi,Benar,https://cekfakta.com/focus/199
[KLARIFIKASI] KemenPAN-RB Tidak Terlibat Dalam Acara Seminar Nasional Pengadaan Tes CPNS 2018,Benar,https://cekfakta.com/focus/198
[KLARIFIKASI] Guru di Bekasi Dipecat Lewat Pesan Grup Whatsapp Gara-Gara Beda Pilihan di Pilkada Jabar,Benar,https://cekfakta.com/focus/188
"[KLARIFIKASI] Klarifikasi Pihak Kepolisian Terkait Isu Pembegalan di Pesing, Jakarta Barat",Benar,https://cekfakta.com/focus/187
[KLARIFIKASI] Klarifikasi Kepala BKPSDM Kabupaten Pamekasan Terkait Isu Penerimaan 80 Aparatur Sipil Negara (ASN) di Pamekasan,Benar,https://cekfakta.com/focus/186
[KLARIFIKASI] Kemendagri Tidak Pernah Mengeluarkan dan Mengedarkan Surat Pembekalan CPNS Tahun 2018,Benar,https://cekfakta.com/focus/185
[KLARIFIKASI] Wakapolri Tidak Pernah Beri Pernyataan Terkait Pilkada Kota Makassar 2018,Benar,https://cekfakta.com/focus/182
"[KLARIFIKASI] ""Sindrom Siklopia""",Benar,https://cekfakta.com/focus/179
"[KLARIFIKASI] ""Banser-PDIP Berdamai""",Benar,https://cekfakta.com/focus/178
[KLARIFIKASI] Foto “Salam Dua Jari” Kapolda Sumut Paulus Waterpauw Bersama Ketua Relawan Djarot-Sihar,Benar,https://cekfakta.com/focus/175
"[KLARIFIKASI] ""Foto wanita Iran yang menonton Piala Dunia tanpa hijab menjadi viral""",Benar,https://cekfakta.com/focus/173
[KLARIFIKASI] SMS yang bertuliskan ‘Coblos Khofifah-Emil for Amien Rais Presiden 2019!’,Benar,https://cekfakta.com/focus/170
"[KLARIFIKASI] ""Sepucuk Surat Dari Teman di Arab Saudi""",Benar,https://cekfakta.com/focus/158
"Buaya 2,5 Meter Muncul di Tanjung Priok, Ancol Dipastikan Tetap Aman.",Benar,https://cekfakta.com/focus/155
Menko Luhut Bantah Kirim Surat Terbuka ke Amien Rais dan Prabowo.,Benar,https://cekfakta.com/focus/154
[BENAR] Situs Ditjen Pajak Diretas,Benar,https://cekfakta.com/focus/146
PNS dan Guru Dilaporkan Terbanyak Sebar Hoaks di Medsos,Benar,https://cekfakta.com/focus/141
[KLARIFIKASI] Penjelasan Djarot atas Informasi yang Sebut Dirinya Menyuap Sejumlah Kepala Desa di Kabupaten Asahan,Benar,https://cekfakta.com/focus/138
KH Asep Saifuddin Chalim Bantah Sebut Orang yang Menyarankan Memilih Gus Ipul Telah Berkhianat,Benar,https://cekfakta.com/focus/136
"[KLARIFIKASI] ""Bukan Hoax, FPI Ikut Buka Bersama di Masjidilaqsa""",Benar,https://cekfakta.com/focus/134
"[KLARIFIKASI] ""Anggaran Tempat Sampah Jerman Rp 9,58 M, Dinas LH DKI Buka Suara""",Benar,https://cekfakta.com/focus/131
"Lawan Begal di Bekasi, Irfan dan Rofik Diberi Penghargaan",Benar,https://cekfakta.com/focus/125
"[KLARIFIKASI] ""Suara sumbang petani Kendal yang digusur proyek tol""",Benar,https://cekfakta.com/focus/123
[KLARIFIKASI] Edy Rahmayadi Tidak Terkena Stroke,Benar,https://cekfakta.com/focus/120
[KLARIFIKASI] Pengibaran Bendera Israel dalam Acara dan Konvoi Kendaraan di Jayapura,Benar,https://cekfakta.com/focus/105
[KLARIFIKASI] MITRA OJEK ONLINE DISERANG HOAKS RACUNI PESANAN MAKANAN KONSUMEN,Benar,https://cekfakta.com/focus/98
[KLARIFIKASI] Kurma Impor Produksi Israel,Benar,https://cekfakta.com/focus/92
[KLARIFIKASI] Polisi Mengklarifikasi Bahwa Tidak Ada Bom di Pasuruan,Benar,https://cekfakta.com/focus/88
[KLARIFIKASI] Klarifikasi Dinas Kesehatan Kota Palopo Terkait Isu Beredarnya Obat Kedaluwarsa,Benar,https://cekfakta.com/focus/85
[KLARIFIKASI] Kemenristekdikti Luruskan Wacana Dosen Impor,Benar,https://cekfakta.com/focus/75
"[KLARIFIKASI] Lambangnya Dicatut Sekber Gerindra-PKS, PBB Beri Klarifikasi",Benar,https://cekfakta.com/focus/67
[KLARIFIKASI] Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO,Benar,https://cekfakta.com/focus/66
"[KLARIFIKASI] Penggalian Saluran Air di Penjaringan, Jakarta Utara Bukan Proyek Palyja",Benar,https://cekfakta.com/focus/65
[KLARIFIKASI] FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah,Benar,https://cekfakta.com/focus/64
[KLARIFIKASI] GUNUNG GONGGANG DI SAGARANTEN SUKABUMI DIKABARKAN AKAN MELETUS,Benar,https://cekfakta.com/focus/62
